id,mother,father,genotype,generation,site,Sown
6125-21,2017_stock,2017_stock,6125,parent,GMI,
6125-22,2017_stock,2017_stock,6125,parent,GMI,
1158-50,2017_stock,2017_stock,1158,parent,GMI,
1158-49,2017_stock,2017_stock,1158,parent,GMI,
6092-42,2017_stock,2017_stock,6092,parent,GMI,
6092-38,2017_stock,2017_stock,6092,parent,GMI,
6024-44,2017_stock,2017_stock,6024,parent,GMI,
6024-43,2017_stock,2017_stock,6024,parent,GMI,
8231-10,2017_stock,2017_stock,8231,parent,GMI,
8231-12,2017_stock,2017_stock,8231,parent,GMI,
P1.1.01,2017_stock,2017_stock,1158,S1,Saltea,August_2019
P1.1.02,2017_stock,2017_stock,1158,S1,Saltea,August_2019
P1.1.03,2017_stock,2017_stock,1158,S1,Saltea,August_2019
P1.1.04,2017_stock,2017_stock,1158,S1,Saltea,August_2019
P1.1.05,2017_stock,2017_stock,1158,S1,Saltea,August_2019
P1.1.06,2017_stock,2017_stock,1158,S1,Saltea,August_2019
P1.1.07,2017_stock,2017_stock,1158,S1,Saltea,August_2019
P1.1.08,2017_stock,2017_stock,1158,S1,Saltea,August_2019
P1.1.09,2017_stock,2017_stock,1158,S1,Saltea,August_2019
P1.1.10,2017_stock,2017_stock,1158,S1,Saltea,August_2019
P1.1.11,2017_stock,2017_stock,1158,S1,Saltea,August_2019
P1.1.12,2017_stock,2017_stock,1158,S1,Saltea,August_2019
P1.1.13,2017_stock,2017_stock,1158,S1,Saltea,August_2019
P1.1.14,2017_stock,2017_stock,1158,S1,Saltea,August_2019
P1.1.15,2017_stock,2017_stock,1158,S1,Saltea,August_2019
P1.1.16,2017_stock,2017_stock,1158,S1,Saltea,August_2019
P1.1.17,2017_stock,2017_stock,1158,S1,Saltea,August_2019
P1.1.18,2017_stock,2017_stock,1158,S1,Saltea,August_2019
P1.1.19,2017_stock,2017_stock,1158,S1,Saltea,August_2019
P1.1.20,2017_stock,2017_stock,1158,S1,Saltea,August_2019
P1.1.21,2017_stock,2017_stock,1158,S1,Saltea,August_2019
P1.1.22,2017_stock,2017_stock,1158,S1,Saltea,August_2019
P1.1.23,2017_stock,2017_stock,1158,S1,Saltea,August_2019
P1.1.24,2017_stock,2017_stock,1158,S1,Saltea,August_2019
P1.1.25,2017_stock,2017_stock,1158,S1,Saltea,August_2019
P1.1.26,2017_stock,2017_stock,1158,S1,Saltea,August_2019
P1.1.27,2017_stock,2017_stock,1158,S1,Saltea,August_2019
P1.1.28,2017_stock,2017_stock,1158,S1,Saltea,August_2019
P1.1.29,2017_stock,2017_stock,1158,S1,Saltea,August_2019
P1.1.30,2017_stock,2017_stock,1158,S1,Saltea,August_2019
P1.1.31,2017_stock,2017_stock,1158,S1,Saltea,August_2019
P1.1.32,2017_stock,2017_stock,1158,S1,Saltea,August_2019
P1.1.33,2017_stock,2017_stock,1158,S1,Saltea,August_2019
P1.1.34,2017_stock,2017_stock,1158,S1,Saltea,August_2019
P1.1.35,2017_stock,2017_stock,1158,S1,Saltea,August_2019
P1.1.36,2017_stock,2017_stock,1158,S1,Saltea,August_2019
P1.1.37,2017_stock,2017_stock,1158,S1,Saltea,August_2019
P1.1.38,2017_stock,2017_stock,1158,S1,Saltea,August_2019
P1.1.39,2017_stock,2017_stock,1158,S1,Saltea,August_2019
P1.1.40,2017_stock,2017_stock,1158,S1,Saltea,August_2019
P1.1.41,2017_stock,2017_stock,1158,S1,Saltea,August_2019
P1.1.42,2017_stock,2017_stock,1158,S1,Saltea,August_2019
P1.1.43,2017_stock,2017_stock,1158,S1,Saltea,August_2019
P1.1.44,2017_stock,2017_stock,1158,S1,Saltea,August_2019
P1.1.45,2017_stock,2017_stock,1158,S1,Saltea,August_2019
P1.1.46,2017_stock,2017_stock,1158,S1,Saltea,August_2019
P1.1.47,2017_stock,2017_stock,1158,S1,Saltea,August_2019
P1.1.48,2017_stock,2017_stock,1158,S1,Saltea,August_2019
P1.1.49,2017_stock,2017_stock,1158,S1,Saltea,August_2019
P1.1.50,2017_stock,2017_stock,1158,S1,Saltea,August_2019
P1.1.51,2017_stock,2017_stock,1158,S1,Saltea,August_2019
P1.1.52,2017_stock,2017_stock,1158,S1,Saltea,August_2019
P1.1.53,2017_stock,2017_stock,1158,S1,Saltea,August_2019
P1.1.54,2017_stock,2017_stock,1158,S1,Saltea,August_2019
P1.2.01,2017_stock,2017_stock,6017,S1,Saltea,August_2019
P1.2.02,2017_stock,2017_stock,6017,S1,Saltea,August_2019
P1.2.03,2017_stock,2017_stock,6017,S1,Saltea,August_2019
P1.2.04,2017_stock,2017_stock,6017,S1,Saltea,August_2019
P1.2.05,2017_stock,2017_stock,6017,S1,Saltea,August_2019
P1.2.06,2017_stock,2017_stock,6017,S1,Saltea,August_2019
P1.2.07,2017_stock,2017_stock,6017,S1,Saltea,August_2019
P1.2.08,2017_stock,2017_stock,6017,S1,Saltea,August_2019
P1.2.09,2017_stock,2017_stock,6017,S1,Saltea,August_2019
P1.2.10,2017_stock,2017_stock,6017,S1,Saltea,August_2019
P1.2.11,2017_stock,2017_stock,6017,S1,Saltea,August_2019
P1.2.12,2017_stock,2017_stock,6017,S1,Saltea,August_2019
P1.2.13,2017_stock,2017_stock,6017,S1,Saltea,August_2019
P1.2.14,2017_stock,2017_stock,6017,S1,Saltea,August_2019
P1.2.15,2017_stock,2017_stock,6017,S1,Saltea,August_2019
P1.2.16,2017_stock,2017_stock,6017,S1,Saltea,August_2019
P1.2.17,2017_stock,2017_stock,6017,S1,Saltea,August_2019
P1.2.18,2017_stock,2017_stock,6017,S1,Saltea,August_2019
P1.2.19,2017_stock,2017_stock,6017,S1,Saltea,August_2019
P1.2.20,2017_stock,2017_stock,6017,S1,Saltea,August_2019
P1.2.21,2017_stock,2017_stock,6017,S1,Saltea,August_2019
P1.2.22,2017_stock,2017_stock,6017,S1,Saltea,August_2019
P1.2.23,2017_stock,2017_stock,6017,S1,Saltea,August_2019
P1.2.24,2017_stock,2017_stock,6017,S1,Saltea,August_2019
P1.2.25,2017_stock,2017_stock,6017,S1,Saltea,August_2019
P1.2.26,2017_stock,2017_stock,6017,S1,Saltea,August_2019
P1.2.27,2017_stock,2017_stock,6017,S1,Saltea,August_2019
P1.2.28,2017_stock,2017_stock,6017,S1,Saltea,August_2019
P1.2.29,2017_stock,2017_stock,6017,S1,Saltea,August_2019
P1.2.30,2017_stock,2017_stock,6017,S1,Saltea,August_2019
P1.2.31,2017_stock,2017_stock,6017,S1,Saltea,August_2019
P1.2.32,2017_stock,2017_stock,6017,S1,Saltea,August_2019
P1.2.33,2017_stock,2017_stock,6017,S1,Saltea,August_2019
P1.2.34,2017_stock,2017_stock,6017,S1,Saltea,August_2019
P1.2.35,2017_stock,2017_stock,6017,S1,Saltea,August_2019
P1.2.36,2017_stock,2017_stock,6017,S1,Saltea,August_2019
P1.2.37,2017_stock,2017_stock,6017,S1,Saltea,August_2019
P1.2.38,2017_stock,2017_stock,6017,S1,Saltea,August_2019
P1.2.39,2017_stock,2017_stock,6017,S1,Saltea,August_2019
P1.2.40,2017_stock,2017_stock,6017,S1,Saltea,August_2019
P1.2.41,2017_stock,2017_stock,6017,S1,Saltea,August_2019
P1.2.42,2017_stock,2017_stock,6017,S1,Saltea,August_2019
P1.2.43,2017_stock,2017_stock,6017,S1,Saltea,August_2019
P1.2.44,2017_stock,2017_stock,6017,S1,Saltea,August_2019
P1.2.45,2017_stock,2017_stock,6017,S1,Saltea,August_2019
P1.2.46,2017_stock,2017_stock,6017,S1,Saltea,August_2019
P1.2.47,2017_stock,2017_stock,6017,S1,Saltea,August_2019
P1.2.48,2017_stock,2017_stock,6017,S1,Saltea,August_2019
P1.2.49,2017_stock,2017_stock,6017,S1,Saltea,August_2019
P1.2.50,2017_stock,2017_stock,6017,S1,Saltea,August_2019
P1.2.51,2017_stock,2017_stock,6017,S1,Saltea,August_2019
P1.2.52,2017_stock,2017_stock,6017,S1,Saltea,August_2019
P1.2.53,2017_stock,2017_stock,6017,S1,Saltea,August_2019
P1.2.54,2017_stock,2017_stock,6017,S1,Saltea,August_2019
P1.3.01,2017_stock,2017_stock,6024,S1,Saltea,August_2019
P1.3.02,2017_stock,2017_stock,6024,S1,Saltea,August_2019
P1.3.03,2017_stock,2017_stock,6024,S1,Saltea,August_2019
P1.3.04,2017_stock,2017_stock,6024,S1,Saltea,August_2019
P1.3.05,2017_stock,2017_stock,6024,S1,Saltea,August_2019
P1.3.06,2017_stock,2017_stock,6024,S1,Saltea,August_2019
