experiment,tray,long_edge,short_edge,mother,genotype,type
F2s,1,1,1,F1.1.02,1158 x 6092,F2
F2s,1,2,2,F1.1.02,1158 x 6092,F2
F2s,1,3,3,F1.1.02,1158 x 6092,F2
F2s,1,4,4,F1.7.09,8231 x 1158,F2
F2s,1,5,5,F1.1.02,1158 x 6092,F2
F2s,1,6,6,F1.5.05,6024 x 8231,F2
F2s,1,7,1,F1.5.05,6024 x 8231,F2
F2s,1,8,2,F1.7.09,8231 x 1158,F2
F2s,1,9,3,F1.2.02,1158 x 6125,F2
F2s,1,10,4,F1.5.05,6024 x 8231,F2
F2s,1,11,5,F1.2.02,1158 x 6125,F2
F2s,1,1,6,F1.7.09,8231 x 1158,F2
F2s,1,2,1,F1.2.02,1158 x 6125,F2
F2s,1,3,2,F1.2.02,1158 x 6125,F2
F2s,1,4,3,F1.1.02,1158 x 6092,F2
F2s,1,5,4,F1.1.02,1158 x 6092,F2
F2s,1,6,5,F1.5.05,6024 x 8231,F2
F2s,1,7,6,F1.2.02,1158 x 6125,F2
F2s,1,8,1,F1.7.09,8231 x 1158,F2
F2s,1,9,2,F1.7.09,8231 x 1158,F2
F2s,1,10,3,F1.2.02,1158 x 6125,F2
F2s,1,11,4,F1.5.05,6024 x 8231,F2
F2s,1,1,5,F1.7.09,8231 x 1158,F2
F2s,1,2,6,F1.7.09,8231 x 1158,F2
F2s,1,3,1,F1.5.05,6024 x 8231,F2
F2s,1,4,2,F1.7.09,8231 x 1158,F2
F2s,1,5,3,F1.2.02,1158 x 6125,F2
F2s,1,6,4,F1.7.09,8231 x 1158,F2
F2s,1,7,5,F1.1.02,1158 x 6092,F2
F2s,1,8,6,F1.1.02,1158 x 6092,F2
F2s,1,9,1,F1.1.02,1158 x 6092,F2
F2s,1,10,2,F1.5.05,6024 x 8231,F2
F2s,1,11,3,F1.7.09,8231 x 1158,F2
F2s,1,1,4,F1.5.05,6024 x 8231,F2
F2s,1,2,5,F1.2.02,1158 x 6125,F2
F2s,1,3,6,F1.7.09,8231 x 1158,F2
F2s,1,4,1,F1.7.09,8231 x 1158,F2
F2s,1,5,2,F1.7.09,8231 x 1158,F2
F2s,1,6,3,NA,NA,blank
F2s,1,7,4,S1.03.01,6024,selfed_parent
F2s,1,8,5,F1.2.02,1158 x 6125,F2
F2s,1,9,6,F1.1.02,1158 x 6092,F2
F2s,1,10,1,F1.2.02,1158 x 6125,F2
F2s,1,11,2,F1.2.02,1158 x 6125,F2
F2s,1,1,3,F1.1.02,1158 x 6092,F2
F2s,1,2,4,S1.5.16,6092,selfed_parent
F2s,1,3,5,F1.5.05,6024 x 8231,F2
F2s,1,4,6,F1.2.02,1158 x 6125,F2
F2s,1,5,1,S1.7.08,6125,selfed_parent
F2s,1,6,2,F1.1.02,1158 x 6092,F2
F2s,1,7,3,F1.7.09,8231 x 1158,F2
F2s,1,8,4,F1.7.09,8231 x 1158,F2
F2s,1,9,5,S1.2.09,1158,selfed_parent
F2s,1,10,6,F1.2.02,1158 x 6125,F2
F2s,1,11,1,F1.5.05,6024 x 8231,F2
F2s,1,1,2,F1.1.02,1158 x 6092,F2
F2s,1,2,3,F1.1.02,1158 x 6092,F2
F2s,1,3,4,F1.1.02,1158 x 6092,F2
F2s,1,4,5,F1.2.02,1158 x 6125,F2
F2s,1,5,6,F1.2.02,1158 x 6125,F2
F2s,1,6,1,S1.10.01,8231,selfed_parent
F2s,1,7,2,F1.5.05,6024 x 8231,F2
F2s,1,8,3,F1.5.05,6024 x 8231,F2
F2s,1,9,4,F1.5.05,6024 x 8231,F2
F2s,1,10,5,F1.5.05,6024 x 8231,F2
F2s,1,11,6,F1.5.05,6024 x 8231,F2
F2s,2,1,1,F1.1.02,1158 x 6092,F2
F2s,2,2,2,F1.1.02,1158 x 6092,F2
F2s,2,3,3,F1.7.09,8231 x 1158,F2
F2s,2,4,4,F1.2.02,1158 x 6125,F2
F2s,2,5,5,F1.1.02,1158 x 6092,F2
F2s,2,6,6,F1.5.05,6024 x 8231,F2
F2s,2,7,1,F1.7.09,8231 x 1158,F2
F2s,2,8,2,F1.2.02,1158 x 6125,F2
F2s,2,9,3,F1.1.02,1158 x 6092,F2
F2s,2,10,4,F1.5.05,6024 x 8231,F2
F2s,2,11,5,F1.5.05,6024 x 8231,F2
F2s,2,1,6,F1.1.02,1158 x 6092,F2
F2s,2,2,1,F1.7.09,8231 x 1158,F2
F2s,2,3,2,F1.1.02,1158 x 6092,F2
F2s,2,4,3,F1.1.02,1158 x 6092,F2
F2s,2,5,4,F1.7.09,8231 x 1158,F2
F2s,2,6,5,S1.5.16,6092,selfed_parent
F2s,2,7,6,F1.5.05,6024 x 8231,F2
F2s,2,8,1,F1.1.02,1158 x 6092,F2
F2s,2,9,2,F1.2.02,1158 x 6125,F2
F2s,2,10,3,F1.1.02,1158 x 6092,F2
F2s,2,11,4,F1.5.05,6024 x 8231,F2
F2s,2,1,5,F1.7.09,8231 x 1158,F2
F2s,2,2,6,F1.7.09,8231 x 1158,F2
F2s,2,3,1,F1.7.09,8231 x 1158,F2
F2s,2,4,2,F1.2.02,1158 x 6125,F2
F2s,2,5,3,F1.1.02,1158 x 6092,F2
F2s,2,6,4,F1.5.05,6024 x 8231,F2
F2s,2,7,5,F1.7.09,8231 x 1158,F2
F2s,2,8,6,F1.5.05,6024 x 8231,F2
F2s,2,9,1,F1.2.02,1158 x 6125,F2
F2s,2,10,2,F1.2.02,1158 x 6125,F2
F2s,2,11,3,F1.1.02,1158 x 6092,F2
F2s,2,1,4,F1.1.02,1158 x 6092,F2
F2s,2,2,5,F1.1.02,1158 x 6092,F2
F2s,2,3,6,F1.1.02,1158 x 6092,F2
F2s,2,4,1,F1.7.09,8231 x 1158,F2
F2s,2,5,2,F1.2.02,1158 x 6125,F2
F2s,2,6,3,F1.5.05,6024 x 8231,F2
F2s,2,7,4,F1.7.09,8231 x 1158,F2
F2s,2,8,5,F1.5.05,6024 x 8231,F2
F2s,2,9,6,F1.7.09,8231 x 1158,F2
F2s,2,10,1,S1.7.08,6125,selfed_parent
F2s,2,11,2,S1.03.01,6024,selfed_parent
F2s,2,1,3,F1.7.09,8231 x 1158,F2
F2s,2,2,4,F1.5.05,6024 x 8231,F2
F2s,2,3,5,F1.5.05,6024 x 8231,F2
F2s,2,4,6,F1.2.02,1158 x 6125,F2
F2s,2,5,1,F1.2.02,1158 x 6125,F2
F2s,2,6,2,F1.7.09,8231 x 1158,F2
F2s,2,7,3,F1.7.09,8231 x 1158,F2
F2s,2,8,4,F1.2.02,1158 x 6125,F2
F2s,2,9,5,S1.2.09,1158,selfed_parent
F2s,2,10,6,F1.2.02,1158 x 6125,F2
F2s,2,11,1,F1.5.05,6024 x 8231,F2
F2s,2,1,2,F1.2.02,1158 x 6125,F2
F2s,2,2,3,F1.7.09,8231 x 1158,F2
F2s,2,3,4,S1.10.01,8231,selfed_parent
