experiment,tray,long_edge,short_edge,mother,genotype,type
pure_lines,15,1,1,2017_stock,6092,pure_lines
pure_lines,15,1,2,2017_stock,6184,pure_lines
pure_lines,15,1,3,Hossjo-3,Hossjo-3,pure_lines
pure_lines,15,1,4,2017_stock,1158,pure_lines
pure_lines,15,1,5,Hossjo-2,Hossjo-2,pure_lines
pure_lines,15,1,6,,6017,pure_lines
pure_lines,15,2,1,2017_stock,6092,pure_lines
pure_lines,15,2,2,,6184,pure_lines
pure_lines,15,2,3,2017_stock,6017,pure_lines
pure_lines,15,2,4,2017_stock,6125,pure_lines
pure_lines,15,2,5,Lovvik-3,Lovvik-3,pure_lines
pure_lines,15,2,6,,1158,pure_lines
pure_lines,15,3,1,2017_stock,6046,pure_lines
pure_lines,15,3,2,2017_stock,8231,pure_lines
pure_lines,15,3,3,2017_stock,6092,pure_lines
pure_lines,15,3,4,,6237,pure_lines
pure_lines,15,3,5,,6184,pure_lines
pure_lines,15,3,6,2017_stock,6024,pure_lines
pure_lines,15,4,1,Lovvik-1,Lovvik-1,pure_lines
pure_lines,15,4,2,,6125,pure_lines
pure_lines,15,4,3,2017_stock,6046,pure_lines
pure_lines,15,4,4,,1158,pure_lines
pure_lines,15,4,5,,1158,pure_lines
pure_lines,15,4,6,2017_stock,6092,pure_lines
pure_lines,15,5,1,,6046,pure_lines
pure_lines,15,5,2,,6046,pure_lines
pure_lines,15,5,3,,6024,pure_lines
pure_lines,15,5,4,,6125,pure_lines
pure_lines,15,5,5,Lovvik-3,Lovvik-3,pure_lines
pure_lines,15,5,6,,6092,pure_lines
pure_lines,15,6,1,,6184,pure_lines
pure_lines,15,6,2,Eden-Road-1,Eden-Road-1,pure_lines
pure_lines,15,6,3,,6237,pure_lines
pure_lines,15,6,4,,6046,pure_lines
pure_lines,15,6,5,NA,NA,pure_lines
pure_lines,15,6,6,,1158,pure_lines
pure_lines,15,7,1,,6184,pure_lines
pure_lines,15,7,2,2017_stock,6184,pure_lines
pure_lines,15,7,3,2017_stock,6046,pure_lines
pure_lines,15,7,4,2017_stock,6237,pure_lines
pure_lines,15,7,5,,6024,pure_lines
pure_lines,15,7,6,,8231,pure_lines
pure_lines,15,8,1,Hossjo-3,Hossjo-3,pure_lines
pure_lines,15,8,2,,6024,pure_lines
pure_lines,15,8,3,2017_stock,6125,pure_lines
pure_lines,15,8,4,2017_stock,6125,pure_lines
pure_lines,15,8,5,,6184,pure_lines
pure_lines,15,8,6,,6184,pure_lines
pure_lines,15,9,1,,6024,pure_lines
pure_lines,15,9,2,Eden-Road-1,Eden-Road-1,pure_lines
pure_lines,15,9,3,2017_stock,6017,pure_lines
pure_lines,15,9,4,,6046,pure_lines
pure_lines,15,9,5,,6125,pure_lines
pure_lines,15,9,6,2017_stock,6237,pure_lines
pure_lines,15,10,1,,6046,pure_lines
pure_lines,15,10,2,Hossjo-2,Hossjo-2,pure_lines
pure_lines,15,10,3,,6244,pure_lines
pure_lines,15,10,4,,6092,pure_lines
pure_lines,15,10,5,Eden-Road-1,Eden-Road-1,pure_lines
pure_lines,15,10,6,Hossjo-2,Hossjo-2,pure_lines
pure_lines,15,11,1,Eden-Road-3,Eden-Road-3,pure_lines
pure_lines,15,11,2,Hossjo-3,Hossjo-3,pure_lines
pure_lines,15,11,3,Lovvik-2,Lovvik-2,pure_lines
pure_lines,15,11,4,Lovvik-1,Lovvik-1,pure_lines
pure_lines,15,11,5,Lovvik-1,Lovvik-1,pure_lines
pure_lines,15,11,6,2017_stock,6092,pure_lines
pure_lines,16,1,1,Eden-Road-2,Eden-Road-2,pure_lines
pure_lines,16,1,2,Lovvik-1,Lovvik-1,pure_lines
pure_lines,16,1,3,2017_stock,6017,pure_lines
pure_lines,16,1,4,,6184,pure_lines
pure_lines,16,1,5,,6184,pure_lines
pure_lines,16,1,6,,8231,pure_lines
pure_lines,16,2,1,Eden-Road-3,Eden-Road-3,pure_lines
pure_lines,16,2,2,2017_stock,6184,pure_lines
pure_lines,16,2,3,2017_stock,6017,pure_lines
pure_lines,16,2,4,2017_stock,6125,pure_lines
pure_lines,16,2,5,2017_stock,8231,pure_lines
pure_lines,16,2,6,,8231,pure_lines
pure_lines,16,3,1,Hossjo-3,Hossjo-3,pure_lines
pure_lines,16,3,2,Lovvik-2,Lovvik-2,pure_lines
pure_lines,16,3,3,,6092,pure_lines
pure_lines,16,3,4,2017_stock,6237,pure_lines
pure_lines,16,3,5,,1158,pure_lines
pure_lines,16,3,6,2017_stock,6244,pure_lines
pure_lines,16,4,1,,6237,pure_lines
pure_lines,16,4,2,Eden-Road-1,Eden-Road-1,pure_lines
pure_lines,16,4,3,2017_stock,6237,pure_lines
pure_lines,16,4,4,2017_stock,6046,pure_lines
pure_lines,16,4,5,2017_stock,6092,pure_lines
pure_lines,16,4,6,2017_stock,6092,pure_lines
pure_lines,16,5,1,,6237,pure_lines
pure_lines,16,5,2,,6024,pure_lines
pure_lines,16,5,3,,6125,pure_lines
pure_lines,16,5,4,Hossjo-3,Hossjo-3,pure_lines
pure_lines,16,5,5,2017_stock,6125,pure_lines
pure_lines,16,5,6,2017_stock,6017,pure_lines
pure_lines,16,6,1,2017_stock,6237,pure_lines
pure_lines,16,6,2,,8231,pure_lines
pure_lines,16,6,3,,6244,pure_lines
pure_lines,16,6,4,,6237,pure_lines
pure_lines,16,6,5,Lovvik-2,Lovvik-2,pure_lines
pure_lines,16,6,6,2017_stock,6017,pure_lines
pure_lines,16,7,1,Hossjo-2,Hossjo-2,pure_lines
pure_lines,16,7,2,,6244,pure_lines
pure_lines,16,7,3,Hossjo-1,Hossjo-1,pure_lines
