experiment,tray,long_edge,short_edge,mother,genotype,type
pure_lines,21,1,1,,6244,pure_lines
pure_lines,21,1,2,Eden-Road-3,Eden-Road-3,pure_lines
pure_lines,21,1,3,Hossjo-2,Hossjo-2,pure_lines
pure_lines,21,1,4,,6092,pure_lines
pure_lines,21,1,5,Hossjo-3,Hossjo-3,pure_lines
pure_lines,21,1,6,,6125,pure_lines
pure_lines,21,2,1,Eden-Road-1,Eden-Road-1,pure_lines
pure_lines,21,2,2,,6092,pure_lines
pure_lines,21,2,3,NA,NA,pure_lines
pure_lines,21,2,4,Eden-Road-2,Eden-Road-2,pure_lines
pure_lines,21,2,5,,1158,pure_lines
pure_lines,21,2,6,,6237,pure_lines
pure_lines,21,3,1,Lovvik-2,Lovvik-2,pure_lines
pure_lines,21,3,2,,6046,pure_lines
pure_lines,21,3,3,2017_stock,6125,pure_lines
pure_lines,21,3,4,2017_stock,6184,pure_lines
pure_lines,21,3,5,,6017,pure_lines
pure_lines,21,3,6,Lovvik-1,Lovvik-1,pure_lines
pure_lines,21,4,1,,6092,pure_lines
pure_lines,21,4,2,,6125,pure_lines
pure_lines,21,4,3,Lovvik-1,Lovvik-1,pure_lines
pure_lines,21,4,4,,1158,pure_lines
pure_lines,21,4,5,,6244,pure_lines
pure_lines,21,4,6,2017_stock,6017,pure_lines
pure_lines,21,5,1,Lovvik-2,Lovvik-2,pure_lines
pure_lines,21,5,2,Lovvik-1,Lovvik-1,pure_lines
pure_lines,21,5,3,Eden-Road-2,Eden-Road-2,pure_lines
pure_lines,21,5,4,,1158,pure_lines
pure_lines,21,5,5,,6125,pure_lines
pure_lines,21,5,6,2017_stock,1158,pure_lines
pure_lines,21,6,1,,6017,pure_lines
pure_lines,21,6,2,Hossjo-2,Hossjo-2,pure_lines
pure_lines,21,6,3,,6046,pure_lines
pure_lines,21,6,4,2017_stock,8231,pure_lines
pure_lines,21,6,5,2017_stock,6046,pure_lines
pure_lines,21,6,6,Hossjo-1,Hossjo-1,pure_lines
pure_lines,21,7,1,,6184,pure_lines
pure_lines,21,7,2,2017_stock,6024,pure_lines
pure_lines,21,7,3,2017_stock,6024,pure_lines
pure_lines,21,7,4,,6046,pure_lines
pure_lines,21,7,5,2017_stock,6024,pure_lines
pure_lines,21,7,6,2017_stock,6237,pure_lines
pure_lines,21,8,1,Eden-Road-1,Eden-Road-1,pure_lines
pure_lines,21,8,2,,6237,pure_lines
pure_lines,21,8,3,,6125,pure_lines
pure_lines,21,8,4,,6017,pure_lines
pure_lines,21,8,5,,8231,pure_lines
pure_lines,21,8,6,,6125,pure_lines
pure_lines,21,9,1,2017_stock,8231,pure_lines
pure_lines,21,9,2,,6184,pure_lines
pure_lines,21,9,3,,6092,pure_lines
pure_lines,21,9,4,2017_stock,8231,pure_lines
pure_lines,21,9,5,2017_stock,6024,pure_lines
pure_lines,21,9,6,2017_stock,6184,pure_lines
pure_lines,21,10,1,,6024,pure_lines
pure_lines,21,10,2,Lovvik-3,Lovvik-3,pure_lines
pure_lines,21,10,3,2017_stock,6046,pure_lines
pure_lines,21,10,4,2017_stock,8231,pure_lines
pure_lines,21,10,5,,6244,pure_lines
pure_lines,21,10,6,2017_stock,6184,pure_lines
pure_lines,21,11,1,,6046,pure_lines
pure_lines,21,11,2,,1158,pure_lines
pure_lines,21,11,3,,6046,pure_lines
pure_lines,21,11,4,,6237,pure_lines
pure_lines,21,11,5,,8231,pure_lines
pure_lines,21,11,6,Lovvik-3,Lovvik-3,pure_lines
pure_lines,22,1,1,,6237,pure_lines
pure_lines,22,1,2,Hossjo-3,Hossjo-3,pure_lines
pure_lines,22,1,3,2017_stock,6244,pure_lines
pure_lines,22,1,4,Eden-Road-2,Eden-Road-2,pure_lines
pure_lines,22,1,5,,6125,pure_lines
pure_lines,22,1,6,2017_stock,6024,pure_lines
pure_lines,22,2,1,2017_stock,8231,pure_lines
pure_lines,22,2,2,2017_stock,6046,pure_lines
pure_lines,22,2,3,,6125,pure_lines
pure_lines,22,2,4,Hossjo-2,Hossjo-2,pure_lines
pure_lines,22,2,5,,8231,pure_lines
pure_lines,22,2,6,2017_stock,6017,pure_lines
pure_lines,22,3,1,2017_stock,6092,pure_lines
pure_lines,22,3,2,,6024,pure_lines
pure_lines,22,3,3,Hossjo-3,Hossjo-3,pure_lines
pure_lines,22,3,4,NA,NA,pure_lines
pure_lines,22,3,5,2017_stock,6184,pure_lines
pure_lines,22,3,6,2017_stock,6125,pure_lines
pure_lines,22,4,1,,6184,pure_lines
pure_lines,22,4,2,Lovvik-1,Lovvik-1,pure_lines
pure_lines,22,4,3,,6244,pure_lines
pure_lines,22,4,4,,6046,pure_lines
pure_lines,22,4,5,2017_stock,6092,pure_lines
pure_lines,22,4,6,Lovvik-1,Lovvik-1,pure_lines
pure_lines,22,5,1,2017_stock,6017,pure_lines
pure_lines,22,5,2,Eden-Road-1,Eden-Road-1,pure_lines
pure_lines,22,5,3,2017_stock,6237,pure_lines
pure_lines,22,5,4,2017_stock,6244,pure_lines
pure_lines,22,5,5,Hossjo-2,Hossjo-2,pure_lines
pure_lines,22,5,6,2017_stock,6125,pure_lines
pure_lines,22,6,1,Lovvik-1,Lovvik-1,pure_lines
pure_lines,22,6,2,,6244,pure_lines
pure_lines,22,6,3,2017_stock,8231,pure_lines
pure_lines,22,6,4,Lovvik-1,Lovvik-1,pure_lines
pure_lines,22,6,5,Hossjo-3,Hossjo-3,pure_lines
pure_lines,22,6,6,,6017,pure_lines
pure_lines,22,7,1,Lovvik-3,Lovvik-3,pure_lines
pure_lines,22,7,2,,8231,pure_lines
pure_lines,22,7,3,2017_stock,6125,pure_lines
pure_lines,22,7,4,,6046,pure_lines
pure_lines,22,7,5,,6244,pure_lines
pure_lines,22,7,6,2017_stock,8231,pure_lines
pure_lines,22,8,1,Hossjo-3,Hossjo-3,pure_lines
pure_lines,22,8,2,2017_stock,1158,pure_lines
pure_lines,22,8,3,Eden-Road-2,Eden-Road-2,pure_lines
pure_lines,22,8,4,2017_stock,6244,pure_lines
pure_lines,22,8,5,,6244,pure_lines
pure_lines,22,8,6,Lovvik-2,Lovvik-2,pure_lines
pure_lines,22,9,1,,6024,pure_lines
pure_lines,22,9,2,2017_stock,6184,pure_lines
pure_lines,22,9,3,,6017,pure_lines
pure_lines,22,9,4,2017_stock,6046,pure_lines
pure_lines,22,9,5,,8231,pure_lines
pure_lines,22,9,6,Lovvik-2,Lovvik-2,pure_lines
pure_lines,22,10,1,2017_stock,6017,pure_lines
pure_lines,22,10,2,Hossjo-1,Hossjo-1,pure_lines
pure_lines,22,10,3,,6237,pure_lines
pure_lines,22,10,4,2017_stock,6244,pure_lines
pure_lines,22,10,5,Hossjo-3,Hossjo-3,pure_lines
pure_lines,22,10,6,,6125,pure_lines
pure_lines,22,11,1,Lovvik-3,Lovvik-3,pure_lines
pure_lines,22,11,2,,6046,pure_lines
pure_lines,22,11,3,2017_stock,6046,pure_lines
pure_lines,22,11,4,2017_stock,6092,pure_lines
