tray	row	column
1	1	2
1	1	6
1	1	7
1	1	9
1	1	10
1	1	11
1	2	1
1	2	2
1	2	3
1	2	4
1	2	5
1	2	6
1	2	7
1	2	8
1	2	9
1	2	10
1	3	1
1	3	2
1	3	3
1	3	4
1	4	3
1	4	6
1	4	8
1	5	1
1	5	2
1	5	3
1	5	5
1	5	7
1	6	3
1	6	4
1	6	7
1	6	8
1	6	9
1	6	10
2	2	8
2	5	3
3	1	1
3	1	2
3	1	5
3	2	7
4	4	9
4	6	6
4	6	8
5	2	6
6	4	6
6	5	6
6	5	11
6	6	6
7	1	11
8	3	5
8	4	11
9	1	8
9	1	11
9	2	9
9	3	11
11	1	7
11	2	10
11	6	4
12	2	1
12	4	6
12	5	6
12	5	8
13	2	2
13	2	3
13	2	4
13	2	9
13	3	2
13	4	5
13	4	7
13	5	3
13	5	6
13	5	11
13	6	6
14	1	5
14	2	11
14	3	3
14	4	4
14	4	10
14	5	8
14	5	11
14	6	1
15	1	11
15	2	1
15	2	10
15	3	11
15	4	4
15	4	8
15	4	10
15	5	6
15	5	8
15	5	9
15	6	5
15	6	11
