experiment,tray,row,column,genotype,bag_received
1001G,1,1,5,1158,
1001G,1,2,9,1158,
1001G,1,3,5,1158,
1001G,1,4,10,1158,1
1001G,1,5,6,1158,1
1001G,1,6,6,1158,
1001G,2,1,8,1158,1
1001G,2,2,11,1158,1
1001G,2,3,10,1158,1
1001G,2,4,10,1158,1
1001G,2,5,11,1158,1
1001G,2,6,11,1158,1
1001G,3,1,5,1158,
1001G,3,2,7,1158,
1001G,3,3,7,1158,
1001G,3,4,4,1158,
1001G,3,5,2,1158,1
1001G,3,6,1,1158,1
1001G,4,1,9,1158,1
1001G,4,2,8,1158,1
1001G,4,3,8,1158,
1001G,4,4,6,1158,1
1001G,4,5,6,1158,
1001G,4,6,6,1158,1
1001G,5,1,7,1158,1
1001G,5,2,1,1158,
1001G,5,3,10,1158,1
1001G,5,4,9,1158,1
1001G,5,5,9,1158,
1001G,5,6,6,1158,
1001G,6,1,6,1158,1
1001G,6,2,1,1158,1
1001G,6,3,9,1158,1
1001G,6,4,8,1158,1
1001G,6,5,6,1158,1
1001G,6,6,3,1158,1
1001G,7,1,5,1158,
1001G,7,2,11,1158,1
1001G,7,3,3,1158,
1001G,7,4,4,1158,
1001G,7,5,9,1158,1
1001G,7,6,7,1158,
1001G,8,1,3,1158,1
1001G,8,2,11,1158,1
1001G,8,3,2,1158,
1001G,8,4,5,1158,1
1001G,8,5,8,1158,1
1001G,8,6,9,1158,1
1001G,9,1,4,1158,1
1001G,9,2,4,1158,1
1001G,9,3,10,1158,1
1001G,9,4,9,1158,1
1001G,9,5,9,1158,1
1001G,9,6,4,1158,1
1001G,1,1,10,6017,
1001G,1,2,1,6017,
1001G,1,3,6,6017,
1001G,1,4,6,6017,
1001G,1,5,1,6017,
1001G,1,6,7,6017,
1001G,2,1,5,6017,1
1001G,2,2,2,6017,
1001G,2,3,4,6017,1
1001G,2,4,8,6017,
1001G,2,5,10,6017,
1001G,2,6,3,6017,
1001G,3,1,7,6017,
1001G,3,2,10,6017,1
1001G,3,3,10,6017,1
1001G,3,4,5,6017,
1001G,3,5,10,6017,1
1001G,3,6,5,6017,
1001G,4,1,6,6017,1
1001G,4,2,9,6017,1
1001G,4,3,10,6017,1
1001G,4,4,9,6017,
1001G,4,5,3,6017,1
1001G,4,6,1,6017,
1001G,5,1,2,6017,
1001G,5,2,9,6017,1
1001G,5,3,5,6017,
1001G,5,4,6,6017,
1001G,5,5,2,6017,
1001G,5,6,2,6017,
1001G,6,1,8,6017,1
1001G,6,2,10,6017,1
1001G,6,3,8,6017,1
1001G,6,4,3,6017,1
1001G,6,5,5,6017,1
1001G,6,6,7,6017,
1001G,7,1,11,6017,
1001G,7,2,7,6017,
1001G,7,3,9,6017,1
