accession,Estimated TE number
1002,15994.72957
1006,16392.83091
1061,17395.2098
1062,15471.45169
1063,16684.38606
1066,15307.82589
1070,15051.12992
108,15309.89291
1158,16088.42275
1166,15528.51405
1254,16853.60709
1257,16022.03598
1313,16624.87081
1317,15719.20164
139,15476.73146
14312,15990.97877
14313,16144.11811
14314,16510.26702
14315,15878.69277
14318,16009.01322
14319,14806.45026
1552,14937.15651
15560,15388.89331
15593,17125.11127
159,15241.90971
1829,16021.50301
1853,16014.5108
1872,15941.75457
1890,15993.53984
1925,15861.27816
1954,15814.57668
2016,16175.53804
2171,16280.77577
2202,15743.19864
2276,15318.26888
2278,15819.64207
2317,9336.447246
265,14652.24822
350,14985.51172
351,15019.02886
403,15238.14837
410,16443.96388
424,16193.0287
428,16169.44881
430,14370.19368
4779,16068.92146
4807,16156.38535
4826,15850.41839
4884,15733.23946
4900,16195.73204
4958,15950.08478
5023,15934.54718
5104,16094.83129
5151,16578.78431
5165,16127.90173
5210,16769.60527
5236,16561.25825
5253,15717.33542
5276,15540.34762
5349,15534.9808
5353,14723.33133
5486,15997.17811
5577,15258.98445
5644,15307.27424
5720,15297.7059
5726,15461.57416
5741,15775.47348
5748,15166.06114
5757,15438.95358
5772,15285.3134
5779,15223.2711
5784,15379.80147
5800,15291.41373
5811,15258.07567
5822,16027.92284
5830,15674.78214
5831,14451.59048
5832,12224.36069
5836,14646.3448
5837,12259.49267
5856,13421.3139
5865,15235.62701
5874,15509.1759
5890,15153.77251
5893,15583.90707
5907,15270.97579
5921,14913.38069
5950,14373.02922
5984,15009.67899
5993,15455.59228
6008,10678.15257
6009,15207.8183
6010,15427.46218
6011,15589.41905
6012,15630.25334
6013,14755.61005
6016,14002.61649
6017,15299.59636
6019,14787.85262
6020,14536.45477
6021,15175.94134
6023,14774.8772
6024,10788.04222
6025,14720.09644
6030,14347.39098
6034,15879.75343
6035,13654.46058
6038,14996.463
6039,11789.06203
6040,14941.96324
6041,15837.21178
6043,10253.51898
6046,14332.28218
6064,14800.0177
6069,14712.46117
6070,15054.25375
6071,14216.96568
6073,15386.04889
6074,15049.17244
6076,12438.13445
6077,15629.60129
6085,14534.27889
6087,15530.23297
6088,14255.63777
6090,14922.76692
6091,15618.63671
6092,10609.73672
6094,15496.97506
6095,15379.71651
6096,15963.76171
6097,15074.17303
6098,14637.84558
6099,13921.8455
6100,14682.60522
6101,15562.37211
6102,14344.59351
6104,14616.68971
6105,16458.29192
6106,15159.46504
6107,14619.58534
6108,14471.25125
6109,16285.46801
6112,14653.00271
6113,14388.51436
6114,14549.10561
6115,15188.16054
6118,15615.47872
6119,16229.85329
6122,15202.98083
6123,14450.48053
6125,15722.88812
6128,15307.58849
6133,15017.50811
6134,15648.78193
6137,15861.96203
6138,16207.65999
6141,16077.34045
6142,15429.8714
6145,15478.50379
6148,15085.80387
6149,15807.25927
6150,15125.21744
6151,15767.94738
6153,16634.41958
6154,15651.53144
6163,15759.78673
6169,14940.95346
6172,15417.8579
6173,15640.04501
6174,15377.25861
6180,15284.27305
6184,16102.35961
6189,15428.99469
6191,16739.05494
6192,16152.68265
6193,15465.32686
6194,15756.71087
6195,15413.89319
6201,14752.05381
6202,14100.73731
6203,15368.59163
6210,15266.69238
6214,16424.59418
6216,16034.06218
6217,15493.78657
6218,9386.442714
6220,15652.66253
6231,14374.53598
6235,15188.13491
6237,16784.03382
6238,16247.60176
6240,15212.32801
6241,13168.73548
6242,14179.01518
6243,15671.91719
6244,14905.76639
6252,15031.0591
6255,13499.42993
6258,14716.22318
6268,17919.23318
6284,14736.82145
6296,15216.88604
630,15780.27859
6390,15000.92752
6396,14972.89817
6413,15965.54111
6424,15220.47728
6434,15129.07045
6445,15499.07943
6744,15121.34871
6897,11619.16423
6898,12947.79216
6900,9659.834329
6903,11349.39116
6904,9693.575401
6907,14212.82891
6908,13224.76563
6909,16391.78528
6911,13860.09908
6913,15340.80693
6915,11969.74411
6917,9832.634078
6918,14917.92587
6919,13068.06079
6920,14186.38267
6922,12022.65
6923,14137.14706
6924,13505.64403
6926,13071.8645
6929,13332.76771
6931,13549.72648
6933,14368.41439
6938,11296.69243
6940,12581.0581
6943,13998.25864
6945,10549.49266
6951,12479.20189
6956,11093.00759
6957,8069.297381
6958,11849.06501
6959,14073.55434
6960,14104.74019
6961,12042.11584
6963,14032.75785
6966,13941.56488
6967,13199.03798
6969,14141.80276
6970,11334.99203
6971,11386.96192
6975,13349.18979
6976,14325.87594
6979,12189.47829
6982,11526.25482
6984,12392.72763
6986,12483.62762
6987,12806.46126
6989,13192.563
6992,13507.37729
6997,10561.44896
7000,12485.47169
7002,11480.84073
7003,13686.39908
7008,13718.55037
7013,13451.8204
7014,11248.33033
7025,13576.60274
7026,10008.96164
7028,12574.07225
7031,14146.23946
7061,13062.46492
7062,12891.127
7064,13324.53383
7068,11130.20165
7071,13361.59428
7072,13856.58954
7077,13342.95895
7081,8659.827735
7092,13457.59154
7094,15884.58727
7096,13269.08809
7102,10556.81297
7103,13004.01931
7107,13153.78008
7109,14387.97124
7117,11989.38243
7119,13301.59126
7120,13517.79015
7126,13209.74276
7127,14338.11815
7130,12881.16837
7133,14329.50947
7143,10483.51418
7147,9674.11668
