Sample,Ecotype_id,Name,Tissue,Condition,Sequenced by,Genome_mCG,Genome_mCHG,Genome_mCHH,Genome_mC,TE_mCG,TE_mCHG,TE_mCHH,TE_mC,RdDM_mCG,RdDM_mCHG,RdDM_mCHH,RdDM_mC,CMT2_mCG,CMT2_mCHG,CMT2_mCHH,CMT2_mC,mGB_mCG
88,88,CYR,Leaf,a.t.,SALK,0.042976441,0.016284992,0.021324219,0.080585652,0.53381593,0.279950202,0.096605675,0.180144613,0.769377185,0.487706052,0.253010233,0.36254768,0.822908506,0.512725707,0.140257697,0.292928983,0.199291376
108,108,LDV-18,Leaf,a.t.,SALK,0.034327854,0.009724656,0.016023251,0.060075761,0.525298325,0.219124545,0.077532331,0.152820308,0.756173328,0.410464475,0.207215066,0.309772387,0.823329533,0.433924712,0.126545876,0.263170798,0.209268936
159,159,MAR2-3,Leaf,a.t.,SALK,0.042283025,0.013483959,0.019608354,0.075375338,0.53600598,0.223183231,0.084239886,0.161587391,0.779895021,0.435646943,0.242202137,0.343294631,0.852193425,0.441370767,0.128868596,0.276547242,0.200838104
265,265,PYL-6,Leaf,a.t.,SALK,0.028018844,0.010950294,0.017416342,0.056385479,0.526303482,0.267318844,0.081493603,0.155457074,0.76268035,0.478137595,0.225199353,0.320199817,0.831561313,0.526258836,0.133677301,0.278865081,0.161521226
350,350,TOU-A1-88,Leaf,a.t.,SALK,0.04581896,0.018683535,0.024458498,0.088960993,0.550444521,0.258399757,0.084683047,0.168566143,0.781020127,0.447444977,0.222386903,0.332787078,0.860328858,0.530492483,0.149138921,0.308205821,0.182026163
351,351,TOU-A1-89,Leaf,a.t.,SALK,0.038254914,0.01264578,0.01867413,0.069574825,0.537953359,0.237535511,0.076905498,0.155246837,0.774874646,0.421662446,0.198137084,0.303172747,0.860512439,0.492404111,0.138881653,0.287464605,0.215160058
403,403,Zdarec3,Leaf,a.t.,SALK,0.029096886,0.007131255,0.012323219,0.04855136,0.497842393,0.182180912,0.059114922,0.126050884,0.710352567,0.358707184,0.165415325,0.256870186,0.771141769,0.369362301,0.10133553,0.225920682,0.206355064
410,410,Doubravnik7,Leaf,a.t.,SALK,0.033477873,0.008593488,0.013997061,0.056068421,0.53106257,0.188380556,0.064347815,0.136898175,0.741533065,0.358142531,0.174957444,0.272132625,0.822207035,0.407448275,0.120907778,0.256491202,0.221684146
424,424,Draha2,Leaf,a.t.,SALK,0.033977339,0.007726613,0.013510972,0.055214924,0.5225933,0.17482003,0.058815712,0.129950216,0.750287688,0.349796016,0.152111713,0.254316847,0.821247887,0.363293374,0.114711845,0.243572684,0.230772257
428,428,Borky1,Leaf,a.t.,SALK,0.048193039,0.016104675,0.020822797,0.085120511,0.538013597,0.250411106,0.099535419,0.186013844,0.776285607,0.475254653,0.290926484,0.396987079,0.817998753,0.468617793,0.130382502,0.285459786,0.218427249
430,430,Gr-1,Leaf,a.t.,SALK,0.040190244,0.017176273,0.026947001,0.084313519,0.527334084,0.268936925,0.099255436,0.176914231,0.774443273,0.491799467,0.288510416,0.38272219,0.852124517,0.543998879,0.161055452,0.314200038,0.172027564
470_ebi,470,BRR4,Leaf,23 寮C,MPI,0.046058033,0.01608625,0.018455391,0.080599673,0.515743874,0.242261181,0.092484173,0.174142801,0.740347897,0.452071816,0.271821329,0.374189752,0.799321522,0.466649118,0.14102784,0.288573174,0.200630215
