id,latitude,longitude
88,47.4,0.683333
108,48.5167,-4.06667
139,48.5167,-4.06667
159,47.35,3.93333
265,44.65,-1.16667
350,46.6667,4.11667
351,46.6667,4.11667
403,49.3667,16.2667
410,49.4211,16.3497
424,49.4112,16.2815
428,49.403,16.232
430,47,15.5
630,40.7777,-72.9069
763,42.3,74.3667
765,42.1833,73.4
766,42.5833,73.6333
768,42.8,76.35
770,40.046526,72.683613
772,37.35,72.4667
801,37.9169,-84.4639
870,41.8266,-86.4366
915,41.8972,-71.4378
932,42.3634,-71.1445
991,55.3833,14.05
992,55.3833,14.05
997,55.3833,14.05
1002,55.3833,14.05
1061,55.7167,14.1333
1062,55.7167,14.1333
1063,55.7167,14.1333
1066,55.7167,14.1333
1074,55.7167,14.1333
1137,56.6167,16.65
1158,56.7,16.5167
1254,59.4333,17.0167
1257,59.4333,17.0167
1317,59.5667,16.8667
1318,59.5667,16.8667
1363,59.7833,17.5833
1367,59.7833,17.5833
1435,62.8,18.2
1552,63.0833,18.3667
1585,65.25,15.6
1829,42.051,-86.509
1853,43.595,-86.2657
1872,43.595,-86.2657
1890,43.5139,-86.1859
1925,43.5251,-86.1843
1954,43.5187,-86.1739
2016,43.5356,-86.1788
2171,42.148,-86.431
2202,43.7623,-86.3929
2276,43.665,-86.496
2278,43.665,-86.496
2317,42.03,-86.514
4779,50.4,-4.9
4807,50.4,-4.9
4826,50.4,-4.9
4884,50.3,-4.9
4900,50.3,-4.8
4931,50.327643,-4.6
4958,50.5,-4.5
5023,51.3,0.5
5104,51.3,0.5
5151,52.2,-1.7
5165,51.3,0.4
5210,51.2,0.3
5236,51.2,0.4
5253,51.1,0.6
5276,51.3,1.1
5349,51.1,0.4
5353,54.5,-3
5470,54.7,-3.4
5486,54.6,-3.3
5506,54.6,-3.1
5535,54.6,-3.1
5577,54.7,-3.4
5644,54.4,-2.9
5720,53.3,-1.6
5726,51.3,1.1
5741,56.6,-4.1
5748,56,-4.4
5757,54.6,-2.3
5768,54.1,-1.5
5772,54.1,-2.3
5778,52.2,1.5
5779,51,-3.1
5784,56.4,-5.2
5800,57.4,-5.5
5811,52.9,-3.1
5818,51.8,-0.6
5822,56.7333,-5.98333
5829,55.38383,14.06125
5830,56.3333,15.9667
5831,56.3333,15.9667
5832,56.3333,15.9667
5835,63.324,18.484
5837,49.4013,16.2326
5856,63.0167,17.4914
5865,55.76,14.12
5867,55.76,14.12
5874,49.4112,16.2815
5890,49.4112,16.2815
5893,49.4112,16.2815
5907,49.4112,16.2815
5921,49.4112,16.2815
5950,49.4112,16.2815
5964,49.4112,16.2815
5984,49.4112,16.2815
5993,49.4112,16.2815
6008,49.1,16.2
6009,62.877,18.177
6011,62.877,18.177
6012,62.877,18.177
6013,62.877,18.177
6016,62.9,18.4
6017,62.9,18.4
6019,56.06,14.29
6020,56.06,14.29
6021,56.06,14.29
6023,55.7509,13.3712
6024,55.7509,13.3712
6025,62.6437,17.7339
6030,62.806,18.1896
6034,56.1,13.74
6035,56.1,13.74
6036,56.1,13.74
6038,56.1,13.74
6039,56.1,13.74
6040,55.66,13.4
6041,56.0328,14.775
6042,56.09,13.9
6043,62.801,18.079
6046,62.801,18.079
6064,62.9513,18.2763
6069,62.9513,18.2763
