id,name,country,latitude,longitude,FT10,FT16
88,CYR,FRA,47.4,0.683333,61.25,50.5
108,LDV-18,FRA,48.5167,-4.06667,70,52.25
139,LDV-46,FRA,48.5167,-4.06667,68.75,52.75
159,MAR2-3,FRA,47.35,3.93333,72,56.75
265,PYL-6,FRA,44.65,-1.16667,63.5,47.25
350,TOU-A1-88,FRA,46.6667,4.11667,68.5,51.5
351,TOU-A1-89,FRA,46.6667,4.11667,69.25,65.33333333
403,Zdarec3,CZE,49.3667,16.2667,63.5,54.25
410,Doubravnik7,CZE,49.4211,16.3497,76,65.25
424,Draha2,CZE,49.4112,16.2815,83.25,68.25
428,Borky1,CZE,49.403,16.232,75.75,59
430,Gr-1,AUT,47,15.5,92.33333333,55
630,LI-OF-065,USA,40.7777,-72.9069,73.5,58.75
763,Kar-1,KGZ,42.3,74.3667,65.75,39
765,Sus-1,KGZ,42.1833,73.4,56.75,36.66666667
766,Dja-1,KGZ,42.5833,73.6333,63.5,41.75
768,Zal-1,KGZ,42.8,76.35,76.5,78.25
770,Kyr-1,KGZ,40.046526,72.683613,75.25,72.25
772,Neo-6,TJK,37.35,72.4667,67.5,43.5
801,KYC-33,USA,37.9169,-84.4639,94.75,88.25
870,MIC-31,USA,41.8266,-86.4366,72.5,62.25
915,LIN S-5,USA,41.8972,-71.4378,63.75,43.5
932,CHA-41,USA,42.3634,-71.1445,78,68.75
991,Ale-Stenar-41-1,SWE,55.3833,14.05,110.5,106.75
992,Ale-Stenar-44-4,SWE,55.3833,14.05,116,100
997,Ale-Stenar-56-14,SWE,55.3833,14.05,101.25,87.5
1002,Ale-Stenar-64-24,SWE,55.3833,14.05,102.75,86.25
1061,Br�_sarp-11-135,SWE,55.7167,14.1333,97.75,94.75
1062,Br�_sarp-15-138,SWE,55.7167,14.1333,94,68.25
1063,Br�_sarp-21-140,SWE,55.7167,14.1333,84,64.25
1066,Br�_sarp-34-145,SWE,55.7167,14.1333,128,NA
1074,Br�_sarp-61-162,SWE,55.7167,14.1333,98.25,90.75
1137,G�rdby-22-213,SWE,56.6167,16.65,111.25,107.6666667
1158,Aledal-6-49,SWE,56.7,16.5167,98.75,88
1254,Tos-82-387,SWE,59.4333,17.0167,92,106
1257,Tos-95-393,SWE,59.4333,17.0167,94.66666667,93.25
1317,�ngs�_-74-430,SWE,59.5667,16.8667,104.25,102
1318,�ngs�_-80-432,SWE,59.5667,16.8667,89.75,123
1363,Ham-7-233,SWE,59.7833,17.5833,104.75,96
1367,Ham-13-241,SWE,59.7833,17.5833,101.75,88.75
1435,R�_d-17-319,SWE,62.8,18.2,72.25,45.66666667
1552,Sku-30,SWE,63.0833,18.3667,104,115.3333333
1585,Hen-16-268,SWE,65.25,15.6,103.5,103.25
1829,Mdn-1,USA,42.051,-86.509,94.75,99
1853,MNF-Pot-21,USA,43.595,-86.2657,71.5,69.33333333
1872,MNF-Pot-75,USA,43.595,-86.2657,80.25,82.5
1890,MNF-Riv-21,USA,43.5139,-86.1859,101,75.75
1925,MNF-Che-2,USA,43.5251,-86.1843,89.5,89.5
1954,MNF-Jac-12,USA,43.5187,-86.1739,93,101
2016,MNF-Pin-39,USA,43.5356,-86.1788,77.5,69.75
2171,Paw-26,USA,42.148,-86.431,79,82.5
2202,Pent-23,USA,43.7623,-86.3929,97.75,96.5
2276,SLSP-31,USA,43.665,-86.496,83,84.25
2278,SLSP-35,USA,43.665,-86.496,79.25,85
2317,Ste-40,USA,42.03,-86.514,77,53.5
4779,UKSW06-179,UK,50.4,-4.9,68.66666667,50.25
4807,UKSW06-207,UK,50.4,-4.9,79.75,87.5
4826,UKSW06-226,UK,50.4,-4.9,60,51
